time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
2024-04-08 13:31:32,0,36,67,90,0,0,0
2024-04-08 13:31:32,0,14,26,28,1,0,0
2024-04-08 13:31:36,0,12,47,38,1,0,0
2024-04-08 13:31:38,0,10,23,24,1,0,0
2024-04-08 13:31:39,0,20,44,48,1,0,0
2024-04-08 13:31:40,0,12,119,118,0,0,0
2024-04-08 13:31:42,0,24,65,79,0,1,0
2024-04-08 13:31:44,0,35,69,83,1,0,0
2024-04-08 13:31:44,0,8,36,37,0,1,0
2024-04-08 13:31:48,0,7,49,29,1,0,0
2024-04-08 13:31:49,0,19,32,65,1,0,0
2024-04-08 13:31:50,0,11,37,38,1,0,0
2024-04-08 13:31:51,0,20,59,56,1,0,0
2024-04-08 13:31:54,0,3,44,39,1,0,0
2024-04-08 13:31:57,0,6,48,37,1,0,0
2024-04-08 13:32:00,0,5,33,23,1,0,0
2024-04-08 13:32:03,0,10,51,50,1,0,0
2024-04-08 13:32:04,0,11,41,43,1,0,0
2024-04-08 13:32:06,0,7,65,60,1,0,0
2024-04-08 13:32:09,0,9,48,39,1,0,0
2024-04-08 13:32:12,0,7,19,16,1,0,0
2024-04-08 13:32:23,13,0,63,55,1,0,1
2024-04-08 13:32:24,17,0,43,31,1,0,1
2024-04-08 13:32:26,7,43,63,62,1,0,0
2024-04-08 13:32:28,27,0,92,81,1,0,1
2024-04-08 13:32:30,0,40,91,92,1,0,0
2024-04-08 13:32:34,0,8,30,30,1,0,0
2024-04-08 13:32:37,0,7,25,23,1,0,0
2024-04-08 13:33:10,15,0,66,64,1,0,1
2024-04-08 13:33:11,0,31,179,196,1,1,0
2024-04-08 13:33:14,0,3,33,28,1,1,0
2024-04-08 13:33:23,2,0,86,94,0,1,0
2024-04-08 13:33:27,29,0,84,75,0,0,1
2024-04-08 13:33:29,0,7,16,18,0,0,0
2024-04-08 13:33:55,5,0,57,62,1,0,1
2024-04-08 13:34:06,16,0,83,86,0,0,1
2024-04-08 13:35:44,0,21,85,85,0,0,0
2024-04-08 13:35:59,17,0,84,143,0,0,1
2024-04-08 13:36:17,0,0,86,168,1,0,1
2024-04-08 13:36:22,65,0,255,249,1,0,1
2024-04-08 13:36:57,0,14,38,39,1,0,0
2024-04-08 13:37:00,10,0,26,25,1,0,1
2024-04-08 13:37:13,21,0,65,55,0,0,1
2024-04-08 13:37:16,0,0,110,214,0,0,1
2024-04-08 13:37:52,20,0,92,92,0,0,1
2024-04-08 13:38:08,12,0,49,41,1,0,1
2024-04-08 13:38:12,23,0,41,27,1,0,1
2024-04-08 13:38:25,23,0,49,33,0,0,1
2024-04-08 13:38:28,12,0,84,84,0,0,1
2024-04-08 13:38:30,14,0,67,59,0,0,1
2024-04-08 13:39:01,0,6,25,27,0,1,0
2024-04-08 13:40:03,53,0,73,34,1,0,1
2024-04-08 13:40:15,44,0,103,86,1,0,1
2024-04-08 13:40:15,9,0,45,42,0,1,1
2024-04-08 13:40:16,3,0,68,69,0,1,1
2024-04-08 13:40:19,20,0,58,44,0,1,1
2024-04-08 13:41:28,21,0,48,47,0,0,1
2024-04-08 13:41:38,9,0,26,27,0,0,1
2024-04-08 13:41:58,0,39,58,81,0,0,0
2024-04-08 13:43:15,9,0,52,49,0,0,1
2024-04-08 13:43:29,14,0,18,55,0,0,1
2024-04-08 13:45:09,4,0,199,222,0,0,1
2024-04-08 13:45:25,53,0,124,111,0,0,1
2024-04-08 13:46:21,0,8,73,62,0,0,0
2024-04-08 13:46:42,27,0,69,48,0,0,1
2024-04-08 13:46:45,35,0,101,165,0,0,1
2024-04-08 13:47:27,18,0,52,40,0,0,1
2024-04-08 13:47:29,11,0,45,52,0,0,1
2024-04-08 13:48:35,12,0,146,144,0,1,1
2024-04-08 13:49:13,11,0,64,59,0,0,1
2024-04-08 13:49:16,13,0,219,220,0,0,1
2024-04-08 14:40:00,0,30,55,59,0,0,0
2024-04-08 14:43:11,11,0,12,15,0,0,1
2024-04-08 14:43:12,6,0,64,56,0,0,1
2024-04-08 15:04:35,0,21,63,60,0,0,0
2024-04-08 15:04:39,0,6,19,16,0,0,0
2024-04-08 15:04:46,0,33,72,89,0,0,0
2024-04-08 15:04:48,0,6,21,22,0,0,0
2024-04-08 15:04:51,0,8,67,62,0,0,0
2024-04-08 15:04:55,0,1,48,51,0,1,0
2024-04-08 15:04:58,0,2,44,42,0,1,0
2024-04-08 15:04:59,0,7,29,33,0,1,0
2024-04-08 15:05:06,0,29,66,81,0,0,0
2024-04-08 15:05:07,0,10,81,85,0,1,0
2024-04-08 15:05:09,0,11,62,59,0,1,0
2024-04-08 15:05:10,0,27,52,75,0,1,0
2024-04-08 15:05:11,7,0,84,84,0,0,1
2024-04-08 15:05:13,18,0,57,48,0,0,1
2024-04-08 15:05:26,0,9,53,60,0,1,0
2024-04-08 15:05:27,0,9,37,43,0,1,0
2024-04-08 15:05:28,0,8,25,34,0,1,0
2024-04-08 15:05:29,0,60,65,104,0,0,0
2024-04-08 15:05:30,0,4,28,28,0,1,0
2024-04-08 15:05:31,0,14,57,58,0,0,0
2024-04-08 15:05:35,0,10,25,26,0,1,0
2024-04-08 15:05:43,0,12,59,66,0,1,0
2024-04-08 15:05:48,0,7,33,35,0,1,0
2024-04-08 15:06:21,0,35,68,85,0,0,0
2024-04-08 15:06:24,0,8,42,45,0,1,0
2024-04-08 15:06:25,0,8,34,33,0,1,0
2024-04-08 15:06:26,0,6,41,43,0,1,0
2024-04-08 15:06:41,0,26,103,106,1,0,0
2024-04-08 15:08:29,0,39,87,103,0,0,0
2024-04-08 15:08:31,0,14,55,56,0,0,0
2024-04-08 15:12:35,0,27,93,97,1,0,0
2024-04-08 15:13:04,0,16,35,35,1,0,0
2024-04-08 15:13:06,0,11,52,32,1,0,0
2024-04-08 15:13:30,0,21,90,93,1,0,0
2024-04-08 15:13:35,0,10,40,38,1,0,0
2024-04-08 15:13:37,0,6,20,19,1,0,0
2024-04-08 15:13:38,0,5,50,47,1,0,0
2024-04-08 15:14:02,0,31,87,94,1,0,0
2024-04-08 15:14:06,0,8,26,26,1,0,0
2024-04-08 15:15:14,0,22,42,50,0,0,0
2024-04-08 15:15:50,0,22,75,72,1,0,0
2024-04-08 15:15:52,0,15,85,87,1,0,0
2024-04-08 15:17:00,20,0,29,20,1,0,1
2024-04-08 15:17:02,8,0,20,25,1,0,1
2024-04-08 15:18:36,23,0,39,34,1,0,1
2024-04-08 15:18:38,21,0,78,75,1,0,1
2024-04-08 15:19:15,7,0,17,18,1,0,1
2024-04-08 15:19:17,6,0,27,33,1,0,1
2024-04-08 15:19:19,22,0,76,66,1,0,1
2024-04-08 15:19:28,9,0,26,50,1,0,1
2024-04-08 15:19:33,7,0,28,34,1,0,1
2024-04-08 15:19:51,21,0,91,105,0,0,1
2024-04-08 15:20:42,0,12,30,27,1,0,0
2024-04-08 15:20:44,0,5,21,18,1,0,0
2024-04-08 15:20:53,27,0,150,138,0,0,1
2024-04-08 15:20:55,10,0,42,37,0,0,1
2024-04-08 15:20:57,18,0,107,106,0,0,1
2024-04-08 15:21:07,0,10,20,23,1,0,0
2024-04-08 15:21:13,20,0,65,57,1,0,1
2024-04-08 15:21:26,7,0,49,46,0,1,1
2024-04-08 15:21:28,8,0,43,40,0,1,1
2024-04-08 15:21:29,4,0,53,52,0,1,1
2024-04-08 15:21:38,7,0,43,44,0,1,1
2024-04-08 15:21:40,7,0,39,38,0,1,1
2024-04-08 15:21:46,11,0,41,33,0,1,1
2024-04-08 15:21:55,34,0,224,200,0,1,1
2024-04-08 15:22:09,5,0,27,31,1,0,1
2024-04-08 15:22:18,11,0,28,46,1,0,1
2024-04-08 15:22:34,0,3,64,62,0,1,0
2024-04-08 15:22:36,3,20,37,51,0,1,0
